Name,Opponent,Win,Weight_Class,Title_Bout,Method,Round,Time,Time_format,Referee,Date,Location,Fighter_A_Totals_Fighter,Fighter_A_Totals_KD,Fighter_A_Totals_Sig_str,Fighter_A_Totals_Sig_str_Pct,Fighter_A_Totals_Total_str,Fighter_A_Totals_Td_Pct,Fighter_A_Totals_Sub_att,Fighter_A_Totals_Rev,Fighter_A_Totals_Ctrl,Fighter_A_Significant_Strikes_Fighter,Fighter_A_Significant_Strikes_Sig_str,Fighter_A_Significant_Strikes_Sig_str_Pct,Fighter_A_Significant_Strikes_Head,Fighter_A_Significant_Strikes_Body,Fighter_A_Significant_Strikes_Leg,Fighter_A_Significant_Strikes_Distance,Fighter_A_Significant_Strikes_Clinch,Fighter_A_Significant_Strikes_Ground,Fighter_B_Totals_Fighter,Fighter_B_Totals_KD,Fighter_B_Totals_Sig_str,Fighter_B_Totals_Sig_str_Pct,Fighter_B_Totals_Total_str,Fighter_B_Totals_Td_Pct,Fighter_B_Totals_Sub_att,Fighter_B_Totals_Rev,Fighter_B_Totals_Ctrl,Fighter_B_Significant_Strikes_Fighter,Fighter_B_Significant_Strikes_Sig_str,Fighter_B_Significant_Strikes_Sig_str_Pct,Fighter_B_Significant_Strikes_Head,Fighter_B_Significant_Strikes_Body,Fighter_B_Significant_Strikes_Leg,Fighter_B_Significant_Strikes_Distance,Fighter_B_Significant_Strikes_Clinch,Fighter_B_Significant_Strikes_Ground
Johnny Walker,Zhang Mingyang,1,Light Heavyweight,0,KO/TKO,2,2:37,5_Rnd_(5-5-5-5-5),Marc_Goddard,"Date:August 23, 2025","Location:Shanghai, Hebei, China",Johnny Walker,0.0,9 of 22,40%,10 of 25,0%,0.0,0.0,0:39,Johnny Walker,9 of 22,40%,3 of 12,1 of 5,5 of 5,7 of 18,2 of 4,0 of 0,,,,,,,,,,,,,,,,,,
Zhang Mingyang,Johnny Walker,0,Light Heavyweight,0,KO/TKO,2,2:37,5_Rnd_(5-5-5-5-5),Marc_Goddard,"Date:August 23, 2025","Location:Shanghai, Hebei, China",,,,,,,,,,,,,,,,,,,Zhang Mingyang,0.0,12 of 30,40%,20 of 42,---,0.0,0.0,1:21,Zhang Mingyang,12 of 30,40%,6 of 24,5 of 5,1 of 1,7 of 22,4 of 6,1 of 2
Brian Ortega,Aljamain Sterling,0,Catch Weight,0,Decision - Unanimous,5,5:00,5_Rnd_(5-5-5-5-5),Herb_Dean,"Date:August 23, 2025","Location:Shanghai, Hebei, China",Brian Ortega,0.0,2 of 28,7%,2 of 28,---,0.0,0.0,0:00,Brian Ortega,2 of 28,7%,2 of 25,0 of 2,0 of 1,2 of 28,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
Aljamain Sterling,Brian Ortega,1,Catch Weight,0,Decision - Unanimous,5,5:00,5_Rnd_(5-5-5-5-5),Herb_Dean,"Date:August 23, 2025","Location:Shanghai, Hebei, China",,,,,,,,,,,,,,,,,,,Aljamain Sterling,0.0,27 of 44,61%,27 of 44,---,0.0,0.0,0:00,Aljamain Sterling,27 of 44,61%,16 of 32,3 of 4,8 of 8,27 of 44,0 of 0,0 of 0
Sergei Pavlovich,Waldo Cortes-Acosta,1,Heavyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Marc_Goddard,"Date:August 23, 2025","Location:Shanghai, Hebei, China",Sergei Pavlovich,0.0,9 of 28,32%,11 of 31,0%,0.0,0.0,0:06,Sergei Pavlovich,9 of 28,32%,6 of 24,1 of 1,2 of 3,8 of 26,1 of 2,0 of 0,,,,,,,,,,,,,,,,,,
Waldo Cortes-Acosta,Sergei Pavlovich,0,Heavyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Marc_Goddard,"Date:August 23, 2025","Location:Shanghai, Hebei, China",,,,,,,,,,,,,,,,,,,Waldo Cortes-Acosta,0.0,11 of 34,32%,11 of 34,---,0.0,0.0,0:00,Waldo Cortes-Acosta,11 of 34,32%,5 of 20,1 of 4,5 of 10,11 of 31,0 of 3,0 of 0
Sumudaerji,Kevin Borjas,1,Flyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Vitor_Ribeiro,"Date:August 23, 2025","Location:Shanghai, Hebei, China",Sumudaerji,0.0,17 of 35,48%,17 of 35,---,0.0,0.0,0:00,Sumudaerji,17 of 35,48%,6 of 15,3 of 9,8 of 11,16 of 34,1 of 1,0 of 0,,,,,,,,,,,,,,,,,,
Kevin Borjas,Sumudaerji,0,Flyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Vitor_Ribeiro,"Date:August 23, 2025","Location:Shanghai, Hebei, China",,,,,,,,,,,,,,,,,,,Kevin Borjas,0.0,3 of 13,23%,3 of 13,0%,0.0,0.0,1:00,Kevin Borjas,3 of 13,23%,1 of 8,2 of 2,0 of 3,1 of 11,2 of 2,0 of 0
Taiyilake Nueraji,Kiefer Crosbie,1,Welterweight,0,KO/TKO,1,3:33,3_Rnd_(5-5-5),Marc_Goddard,"Date:August 23, 2025","Location:Shanghai, Hebei, China",Taiyilake Nueraji,0.0,27 of 38,71%,31 of 42,33%,0.0,0.0,3:11,Taiyilake Nueraji,27 of 38,71%,25 of 35,2 of 3,0 of 0,2 of 3,0 of 0,25 of 35,,,,,,,,,,,,,,,,,,
Kiefer Crosbie,Taiyilake Nueraji,0,Welterweight,0,KO/TKO,1,3:33,3_Rnd_(5-5-5),Marc_Goddard,"Date:August 23, 2025","Location:Shanghai, Hebei, China",,,,,,,,,,,,,,,,,,,Kiefer Crosbie,0.0,2 of 3,66%,11 of 12,0%,0.0,0.0,0:08,Kiefer Crosbie,2 of 3,66%,1 of 1,1 of 1,0 of 1,2 of 3,0 of 0,0 of 0
Maheshate,Gauge Young,0,Lightweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Herb_Dean,"Date:August 23, 2025","Location:Shanghai, Hebei, China",Maheshate,0.0,18 of 44,40%,21 of 48,0%,0.0,0.0,0:01,Maheshate,18 of 44,40%,5 of 29,6 of 7,7 of 8,18 of 44,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
Gauge Young,Maheshate,1,Lightweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Herb_Dean,"Date:August 23, 2025","Location:Shanghai, Hebei, China",,,,,,,,,,,,,,,,,,,Gauge Young,0.0,31 of 53,58%,34 of 56,100%,0.0,0.0,1:13,Gauge Young,31 of 53,58%,9 of 25,9 of 13,13 of 15,27 of 49,4 of 4,0 of 0
Charles Johnson,Lone'er Kavanagh,1,Flyweight,0,KO/TKO,2,4:35,3_Rnd_(5-5-5),Jim_Perdios,"Date:August 23, 2025","Location:Shanghai, Hebei, China",Charles Johnson,0.0,14 of 25,56%,14 of 25,0%,0.0,0.0,0:10,Charles Johnson,14 of 25,56%,3 of 11,2 of 4,9 of 10,14 of 24,0 of 1,0 of 0,,,,,,,,,,,,,,,,,,
Lone'er Kavanagh,Charles Johnson,0,Flyweight,0,KO/TKO,2,4:35,3_Rnd_(5-5-5),Jim_Perdios,"Date:August 23, 2025","Location:Shanghai, Hebei, China",,,,,,,,,,,,,,,,,,,Lone'er Kavanagh,0.0,36 of 65,55%,37 of 66,---,0.0,0.0,0:00,Lone'er Kavanagh,36 of 65,55%,17 of 37,14 of 18,5 of 10,34 of 63,2 of 2,0 of 0
Rongzhu,Austin Hubbard,1,Lightweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Vitor_Ribeiro,"Date:August 23, 2025","Location:Shanghai, Hebei, China",Rongzhu,0.0,20 of 46,43%,21 of 47,---,0.0,0.0,0:00,Rongzhu,20 of 46,43%,9 of 32,1 of 4,10 of 10,19 of 43,1 of 3,0 of 0,,,,,,,,,,,,,,,,,,
Austin Hubbard,Rongzhu,0,Lightweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Vitor_Ribeiro,"Date:August 23, 2025","Location:Shanghai, Hebei, China",,,,,,,,,,,,,,,,,,,Austin Hubbard,0.0,18 of 59,30%,18 of 59,33%,0.0,0.0,0:29,Austin Hubbard,18 of 59,30%,10 of 46,7 of 11,1 of 2,18 of 59,0 of 0,0 of 0
Michel Pereira,Kyle Daukaus,0,Middleweight,0,KO/TKO,1,0:43,3_Rnd_(5-5-5),Marc_Goddard,"Date:August 23, 2025","Location:Shanghai, Hebei, China",Michel Pereira,0.0,2 of 4,50%,2 of 4,---,0.0,0.0,0:00,Michel Pereira,2 of 4,50%,0 of 1,2 of 3,0 of 0,2 of 4,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
Kyle Daukaus,Michel Pereira,1,Middleweight,0,KO/TKO,1,0:43,3_Rnd_(5-5-5),Marc_Goddard,"Date:August 23, 2025","Location:Shanghai, Hebei, China",,,,,,,,,,,,,,,,,,,Kyle Daukaus,1.0,5 of 8,62%,7 of 12,---,0.0,0.0,0:07,Kyle Daukaus,5 of 8,62%,5 of 8,0 of 0,0 of 0,1 of 1,0 of 0,4 of 7
Yizha,Westin Wilson,1,Featherweight,0,KO/TKO,1,0:37,3_Rnd_(5-5-5),Herb_Dean,"Date:August 23, 2025","Location:Shanghai, Hebei, China",Yizha,2.0,13 of 18,72%,17 of 23,---,0.0,0.0,0:06,Yizha,13 of 18,72%,10 of 15,0 of 0,3 of 3,9 of 12,2 of 3,2 of 3,,,,,,,,,,,,,,,,,,
Westin Wilson,Yizha,0,Featherweight,0,KO/TKO,1,0:37,3_Rnd_(5-5-5),Herb_Dean,"Date:August 23, 2025","Location:Shanghai, Hebei, China",,,,,,,,,,,,,,,,,,,Westin Wilson,0.0,0 of 2,0%,0 of 2,---,0.0,0.0,0:00,Westin Wilson,0 of 2,0%,0 of 1,0 of 0,0 of 1,0 of 2,0 of 0,0 of 0
Xiao Long,SuYoung You,0,Bantamweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Jim_Perdios,"Date:August 23, 2025","Location:Shanghai, Hebei, China",Xiao Long,0.0,11 of 35,31%,11 of 35,---,0.0,0.0,0:00,Xiao Long,11 of 35,31%,6 of 18,1 of 4,4 of 13,11 of 35,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
SuYoung You,Xiao Long,1,Bantamweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Jim_Perdios,"Date:August 23, 2025","Location:Shanghai, Hebei, China",,,,,,,,,,,,,,,,,,,SuYoung You,0.0,10 of 15,66%,12 of 17,0%,0.0,0.0,0:03,SuYoung You,10 of 15,66%,6 of 10,3 of 3,1 of 2,8 of 13,2 of 2,0 of 0
Uran Satybaldiev,Diyar Nurgozhay,1,Light Heavyweight,0,Submission,1,2:45,3_Rnd_(5-5-5),Vitor_Ribeiro,"Date:August 23, 2025","Location:Shanghai, Hebei, China",Uran Satybaldiev,1.0,2 of 9,22%,3 of 10,---,2.0,1.0,1:10,Uran Satybaldiev,2 of 9,22%,1 of 4,0 of 4,1 of 1,2 of 8,0 of 0,0 of 1,,,,,,,,,,,,,,,,,,
Diyar Nurgozhay,Uran Satybaldiev,0,Light Heavyweight,0,Submission,1,2:45,3_Rnd_(5-5-5),Vitor_Ribeiro,"Date:August 23, 2025","Location:Shanghai, Hebei, China",,,,,,,,,,,,,,,,,,,Diyar Nurgozhay,0.0,7 of 11,63%,13 of 19,100%,0.0,0.0,0:18,Diyar Nurgozhay,7 of 11,63%,1 of 3,3 of 5,3 of 3,7 of 11,0 of 0,0 of 0
Dricus Du Plessis,Khamzat Chimaev,0,Middleweight,1,Decision - Unanimous,5,5:00,5_Rnd_(5-5-5-5-5),Marc_Goddard,"Date:August 16, 2025","Location:Chicago, Illinois, USA",Dricus Du Plessis,0.0,0 of 0,---,3 of 3,---,0.0,0.0,0:00,Dricus Du Plessis,0 of 0,---,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
Khamzat Chimaev,Dricus Du Plessis,1,Middleweight,1,Decision - Unanimous,5,5:00,5_Rnd_(5-5-5-5-5),Marc_Goddard,"Date:August 16, 2025","Location:Chicago, Illinois, USA",,,,,,,,,,,,,,,,,,,Khamzat Chimaev,0.0,1 of 2,50%,131 of 137,100%,0.0,0.0,4:47,Khamzat Chimaev,1 of 2,50%,1 of 1,0 of 1,0 of 0,0 of 1,0 of 0,1 of 1
Lerone Murphy,Aaron Pico,1,Featherweight,0,KO/TKO,1,3:21,3_Rnd_(5-5-5),Herb_Dean,"Date:August 16, 2025","Location:Chicago, Illinois, USA",Lerone Murphy,1.0,8 of 16,50%,8 of 16,---,1.0,0.0,0:00,Lerone Murphy,8 of 16,50%,4 of 9,4 of 6,0 of 1,6 of 14,1 of 1,1 of 1,,,,,,,,,,,,,,,,,,
Aaron Pico,Lerone Murphy,0,Featherweight,0,KO/TKO,1,3:21,3_Rnd_(5-5-5),Herb_Dean,"Date:August 16, 2025","Location:Chicago, Illinois, USA",,,,,,,,,,,,,,,,,,,Aaron Pico,0.0,13 of 29,44%,13 of 30,66%,0.0,0.0,2:01,Aaron Pico,13 of 29,44%,7 of 23,5 of 5,1 of 1,7 of 21,3 of 5,3 of 3
Geoff Neal,Carlos Prates,0,Welterweight,0,KO/TKO,1,4:59,3_Rnd_(5-5-5),Jason_Herzog,"Date:August 16, 2025","Location:Chicago, Illinois, USA",Geoff Neal,0.0,25 of 49,51%,26 of 50,0%,0.0,0.0,0:15,Geoff Neal,25 of 49,51%,16 of 38,4 of 6,5 of 5,23 of 45,2 of 4,0 of 0,,,,,,,,,,,,,,,,,,
Carlos Prates,Geoff Neal,1,Welterweight,0,KO/TKO,1,4:59,3_Rnd_(5-5-5),Jason_Herzog,"Date:August 16, 2025","Location:Chicago, Illinois, USA",,,,,,,,,,,,,,,,,,,Carlos Prates,1.0,32 of 60,53%,32 of 60,---,0.0,0.0,0:00,Carlos Prates,32 of 60,53%,17 of 45,8 of 8,7 of 7,32 of 58,0 of 2,0 of 0
Jared Cannonier,Michael Page,0,Middleweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Marc_Goddard,"Date:August 16, 2025","Location:Chicago, Illinois, USA",Jared Cannonier,0.0,2 of 16,12%,10 of 24,0%,0.0,0.0,2:10,Jared Cannonier,2 of 16,12%,0 of 14,1 of 1,1 of 1,2 of 16,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
Michael Page,Jared Cannonier,1,Middleweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Marc_Goddard,"Date:August 16, 2025","Location:Chicago, Illinois, USA",,,,,,,,,,,,,,,,,,,Michael Page,0.0,11 of 20,55%,11 of 21,0%,0.0,0.0,0:00,Michael Page,11 of 20,55%,5 of 14,5 of 5,1 of 1,10 of 19,1 of 1,0 of 0
Tim Elliott,Kai Asakura,1,Flyweight,0,Submission,2,4:39,3_Rnd_(5-5-5),Robert_Madrigal,"Date:August 16, 2025","Location:Chicago, Illinois, USA",Tim Elliott,0.0,16 of 40,40%,24 of 50,100%,0.0,0.0,0:49,Tim Elliott,16 of 40,40%,9 of 24,1 of 8,6 of 8,15 of 39,0 of 0,1 of 1,,,,,,,,,,,,,,,,,,
Kai Asakura,Tim Elliott,0,Flyweight,0,Submission,2,4:39,3_Rnd_(5-5-5),Robert_Madrigal,"Date:August 16, 2025","Location:Chicago, Illinois, USA",,,,,,,,,,,,,,,,,,,Kai Asakura,0.0,11 of 45,24%,20 of 54,---,0.0,0.0,0:01,Kai Asakura,11 of 45,24%,8 of 40,3 of 5,0 of 0,11 of 45,0 of 0,0 of 0
Baisangur Susurkaev,Eric Nolan,1,Middleweight,0,Submission,2,2:01,3_Rnd_(5-5-5),Jason_Herzog,"Date:August 16, 2025","Location:Chicago, Illinois, USA",Baisangur Susurkaev,0.0,19 of 37,51%,28 of 48,28%,0.0,0.0,1:55,Baisangur Susurkaev,19 of 37,51%,9 of 24,6 of 9,4 of 4,17 of 34,2 of 3,0 of 0,,,,,,,,,,,,,,,,,,
Eric Nolan,Baisangur Susurkaev,0,Middleweight,0,Submission,2,2:01,3_Rnd_(5-5-5),Jason_Herzog,"Date:August 16, 2025","Location:Chicago, Illinois, USA",,,,,,,,,,,,,,,,,,,Eric Nolan,0.0,18 of 49,36%,20 of 51,0%,0.0,0.0,0:17,Eric Nolan,18 of 49,36%,16 of 47,2 of 2,0 of 0,15 of 41,3 of 8,0 of 0
Gerald Meerschaert,Michal Oleksiejczuk,0,Middleweight,0,KO/TKO,1,3:03,3_Rnd_(5-5-5),Herb_Dean,"Date:August 16, 2025","Location:Chicago, Illinois, USA",Gerald Meerschaert,0.0,3 of 16,18%,3 of 16,0%,0.0,0.0,0:00,Gerald Meerschaert,3 of 16,18%,2 of 14,0 of 0,1 of 2,3 of 16,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
Michal Oleksiejczuk,Gerald Meerschaert,1,Middleweight,0,KO/TKO,1,3:03,3_Rnd_(5-5-5),Herb_Dean,"Date:August 16, 2025","Location:Chicago, Illinois, USA",,,,,,,,,,,,,,,,,,,Michal Oleksiejczuk,1.0,23 of 51,45%,23 of 51,---,0.0,0.0,0:22,Michal Oleksiejczuk,23 of 51,45%,18 of 46,5 of 5,0 of 0,11 of 31,0 of 0,12 of 20
Jessica Andrade,Loopy Godinez,0,Women's Strawweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Nick_Cimmarusti,"Date:August 16, 2025","Location:Chicago, Illinois, USA",Jessica Andrade,0.0,18 of 83,21%,18 of 83,---,0.0,0.0,0:00,Jessica Andrade,18 of 83,21%,13 of 75,2 of 3,3 of 5,17 of 82,1 of 1,0 of 0,,,,,,,,,,,,,,,,,,
Loopy Godinez,Jessica Andrade,1,Women's Strawweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Nick_Cimmarusti,"Date:August 16, 2025","Location:Chicago, Illinois, USA",,,,,,,,,,,,,,,,,,,Loopy Godinez,0.0,40 of 71,56%,41 of 72,0%,0.0,0.0,0:00,Loopy Godinez,40 of 71,56%,31 of 62,6 of 6,3 of 3,39 of 70,1 of 1,0 of 0
Chase Hooper,Alexander Hernandez,0,Lightweight,0,KO/TKO,1,4:58,3_Rnd_(5-5-5),Jason_Herzog,"Date:August 16, 2025","Location:Chicago, Illinois, USA",Chase Hooper,0.0,20 of 82,24%,20 of 82,0%,0.0,0.0,0:05,Chase Hooper,20 of 82,24%,7 of 62,7 of 12,6 of 8,20 of 81,0 of 1,0 of 0,,,,,,,,,,,,,,,,,,
Alexander Hernandez,Chase Hooper,1,Lightweight,0,KO/TKO,1,4:58,3_Rnd_(5-5-5),Jason_Herzog,"Date:August 16, 2025","Location:Chicago, Illinois, USA",,,,,,,,,,,,,,,,,,,Alexander Hernandez,1.0,17 of 38,44%,18 of 39,---,0.0,0.0,0:02,Alexander Hernandez,17 of 38,44%,14 of 35,3 of 3,0 of 0,13 of 33,0 of 0,4 of 5
Edson Barboza,Drakkar Klose,0,Lightweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Marc_Goddard,"Date:August 16, 2025","Location:Chicago, Illinois, USA",Edson Barboza,0.0,24 of 36,66%,26 of 38,---,0.0,0.0,1:26,Edson Barboza,24 of 36,66%,4 of 11,13 of 17,7 of 8,18 of 30,6 of 6,0 of 0,,,,,,,,,,,,,,,,,,
Drakkar Klose,Edson Barboza,1,Lightweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Marc_Goddard,"Date:August 16, 2025","Location:Chicago, Illinois, USA",,,,,,,,,,,,,,,,,,,Drakkar Klose,0.0,15 of 29,51%,68 of 89,0%,0.0,0.0,0:33,Drakkar Klose,15 of 29,51%,8 of 18,1 of 3,6 of 8,13 of 27,2 of 2,0 of 0
Karine Silva,Dione Barbosa,1,Women's Flyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Robert_Madrigal,"Date:August 16, 2025","Location:Chicago, Illinois, USA",Karine Silva,0.0,10 of 30,33%,11 of 31,0%,0.0,0.0,0:00,Karine Silva,10 of 30,33%,6 of 24,3 of 5,1 of 1,10 of 30,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
Dione Barbosa,Karine Silva,0,Women's Flyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Robert_Madrigal,"Date:August 16, 2025","Location:Chicago, Illinois, USA",,,,,,,,,,,,,,,,,,,Dione Barbosa,0.0,15 of 41,36%,19 of 47,100%,1.0,0.0,0:44,Dione Barbosa,15 of 41,36%,4 of 27,7 of 9,4 of 5,15 of 41,0 of 0,0 of 0
Alibi Idiris,Joseph Morales,0,Fighter 33 Flyweight Tournament,1,Submission,2,3:04,3_Rnd_+_OT_(5-5-5-5),Nick_Cimmarusti,"Date:August 16, 2025","Location:Chicago, Illinois, USA",Alibi Idiris,0.0,18 of 27,66%,37 of 49,0%,0.0,0.0,0:23,Alibi Idiris,18 of 27,66%,6 of 15,10 of 10,2 of 2,13 of 21,5 of 6,0 of 0,,,,,,,,,,,,,,,,,,
Joseph Morales,Alibi Idiris,1,Fighter 33 Flyweight Tournament,1,Submission,2,3:04,3_Rnd_+_OT_(5-5-5-5),Nick_Cimmarusti,"Date:August 16, 2025","Location:Chicago, Illinois, USA",,,,,,,,,,,,,,,,,,,Joseph Morales,0.0,10 of 24,41%,19 of 40,66%,1.0,0.0,2:55,Joseph Morales,10 of 24,41%,7 of 18,3 of 6,0 of 0,4 of 16,6 of 7,0 of 1
Roman Dolidze,Anthony Hernandez,0,Middleweight,0,Submission,4,2:45,5_Rnd_(5-5-5-5-5),Herb_Dean,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",Roman Dolidze,0.0,10 of 31,32%,13 of 34,---,0.0,0.0,0:45,Roman Dolidze,10 of 31,32%,5 of 25,0 of 1,5 of 5,9 of 30,1 of 1,0 of 0,,,,,,,,,,,,,,,,,,
Anthony Hernandez,Roman Dolidze,1,Middleweight,0,Submission,4,2:45,5_Rnd_(5-5-5-5-5),Herb_Dean,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Anthony Hernandez,0.0,19 of 37,51%,21 of 39,50%,0.0,0.0,0:50,Anthony Hernandez,19 of 37,51%,11 of 29,1 of 1,7 of 7,16 of 34,3 of 3,0 of 0
Steve Erceg,Ode Osbourne,1,Bantamweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Mark_Smith,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",Steve Erceg,0.0,3 of 11,27%,4 of 14,20%,0.0,0.0,1:06,Steve Erceg,3 of 11,27%,2 of 10,1 of 1,0 of 0,2 of 10,1 of 1,0 of 0,,,,,,,,,,,,,,,,,,
Ode Osbourne,Steve Erceg,0,Bantamweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Mark_Smith,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Ode Osbourne,0.0,17 of 32,53%,26 of 44,100%,0.0,1.0,0:46,Ode Osbourne,17 of 32,53%,10 of 21,0 of 2,7 of 9,12 of 27,0 of 0,5 of 5
Iasmin Lucindo,Angela Hill,1,Women's Strawweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Chris_Tognoni,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",Iasmin Lucindo,0.0,27 of 68,39%,28 of 69,33%,0.0,0.0,0:46,Iasmin Lucindo,27 of 68,39%,19 of 57,6 of 9,2 of 2,22 of 58,5 of 10,0 of 0,,,,,,,,,,,,,,,,,,
Angela Hill,Iasmin Lucindo,0,Women's Strawweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Chris_Tognoni,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Angela Hill,0.0,25 of 46,54%,26 of 47,0%,0.0,0.0,0:33,Angela Hill,25 of 46,54%,18 of 38,5 of 6,2 of 2,22 of 41,3 of 5,0 of 0
Andre Fili,Christian Rodriguez,1,Featherweight,0,Decision - Split,3,5:00,3_Rnd_(5-5-5),Mike_Beltran,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",Andre Fili,0.0,22 of 63,34%,27 of 68,---,0.0,0.0,0:00,Andre Fili,22 of 63,34%,19 of 56,1 of 4,2 of 3,22 of 63,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
Christian Rodriguez,Andre Fili,0,Featherweight,0,Decision - Split,3,5:00,3_Rnd_(5-5-5),Mike_Beltran,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Christian Rodriguez,0.0,29 of 64,45%,29 of 66,33%,0.0,0.0,0:35,Christian Rodriguez,29 of 64,45%,13 of 43,4 of 6,12 of 15,28 of 63,0 of 0,1 of 1
Miles Johns,Jean Matsumoto,0,Bantamweight,0,Decision - Split,3,5:00,3_Rnd_(5-5-5),Herb_Dean,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",Miles Johns,0.0,22 of 42,52%,23 of 43,50%,0.0,0.0,1:42,Miles Johns,22 of 42,52%,17 of 37,5 of 5,0 of 0,20 of 37,2 of 4,0 of 1,,,,,,,,,,,,,,,,,,
Jean Matsumoto,Miles Johns,1,Bantamweight,0,Decision - Split,3,5:00,3_Rnd_(5-5-5),Herb_Dean,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Jean Matsumoto,0.0,16 of 49,32%,20 of 54,0%,1.0,0.0,0:22,Jean Matsumoto,16 of 49,32%,8 of 29,5 of 9,3 of 11,15 of 48,1 of 1,0 of 0
Eryk Anders,Christian Leroy Duncan,0,Middleweight,0,KO/TKO,1,3:53,3_Rnd_(5-5-5),Mark_Smith,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",Eryk Anders,0.0,7 of 12,58%,18 of 24,33%,0.0,0.0,1:18,Eryk Anders,7 of 12,58%,2 of 7,4 of 4,1 of 1,4 of 9,3 of 3,0 of 0,,,,,,,,,,,,,,,,,,
Christian Leroy Duncan,Eryk Anders,1,Middleweight,0,KO/TKO,1,3:53,3_Rnd_(5-5-5),Mark_Smith,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Christian Leroy Duncan,1.0,24 of 43,55%,27 of 46,---,0.0,0.0,0:39,Christian Leroy Duncan,24 of 43,55%,9 of 26,3 of 4,12 of 13,20 of 37,3 of 3,1 of 3
Julius Walker,Rafael Cerqueira,1,Light Heavyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Mike_Beltran,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",Julius Walker,0.0,13 of 22,59%,17 of 27,75%,0.0,0.0,3:31,Julius Walker,13 of 22,59%,5 of 14,3 of 3,5 of 5,8 of 13,2 of 5,3 of 4,,,,,,,,,,,,,,,,,,
Rafael Cerqueira,Julius Walker,0,Light Heavyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Mike_Beltran,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Rafael Cerqueira,0.0,11 of 25,44%,12 of 26,---,0.0,0.0,0:18,Rafael Cerqueira,11 of 25,44%,7 of 21,0 of 0,4 of 4,11 of 25,0 of 0,0 of 0
Elijah Smith,Toshiomi Kazama,1,Bantamweight,0,KO/TKO,1,4:10,3_Rnd_(5-5-5),Chris_Tognoni,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",Elijah Smith,0.0,37 of 46,80%,61 of 74,---,0.0,1.0,3:49,Elijah Smith,37 of 46,80%,35 of 44,2 of 2,0 of 0,1 of 3,0 of 0,36 of 43,,,,,,,,,,,,,,,,,,
